occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex
34.545771,23.358953,36.408399,31.159908,26.974208,19.929434,26.232438,20.727717,30.473024,36.857818,33.604284,24.04876,31.764967,28.099997,26.9644,25.233009
35.806613,29.227433,38.834377,33.562186,30.070201,24.766842,30.199605,28.243316,31.197887,37.029356,31.476939,30.500561,33.626144,25.580126,32.480584,31.253544
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.100394,20.163658,23.996122,23.063629,20.955531,21.266964,23.832769,23.905048,24.115507,28.066511,23.81982,20.756814,20.537724,26.091499,20.778694,23.401417
5.20032,7.179676,7.911148,7.311923,9.242045,10.649854,7.549676,4.162825,3.859417,2.984337,3.65102,7.619004,8.000751,5.910867,4.482253,6.611047
5.943916,9.539546,8.518108,7.756359,10.519992,9.568776,7.131789,12.05364,5.731804,4.633309,5.500464,9.484381,12.849098,6.713818,7.416378,7.946502
7.718955,9.103921,10.922812,8.949128,8.725939,12.065989,7.663135,10.193532,8.17127,7.933809,8.512576,9.807215,10.871536,7.735089,7.605269,7.804319
9.341554,11.067678,16.758375,9.731163,13.840939,13.104939,9.169426,14.066166,8.498809,9.686042,10.909918,12.421461,13.060635,9.437794,10.645494,9.928258
0.906174,0.471422,0.388712,0.876674,0.742932,0.25805,0.854625,0.221039,0.199896,0.532008,1.728061,0.594203,0.568192,0.735195,0.609211,0.591413
2.308852,3.267051,2.550474,2.219096,2.642053,2.573755,2.369366,1.529963,2.129937,1.944992,1.693591,3.1233,2.742482,2.168092,2.231662,2.691052
0.141888,0.086305,0.137274,0.09229,0.177407,0.149845,0.1532,0.063989,0.071683,0.09647,0.23993,0.078399,0.183299,0.135152,0.092078,0.029336
49.058472,31.276319,64.487546,45.615908,36.861861,33.778635,36.031728,42.688606,46.512767,63.372818,49.365541,34.983714,46.973702,33.655082,40.939931,35.151835
48.335938,107.674244,15.269498,1.033925,157.262502,13.939895,38.067426,1.75258,33.888237,56.409341,21.245431,25.98817,52.838312,11.943941,100.866981,110.260874
7.083987,4.810641,4.853226,5.815855,5.721064,3.300567,5.47493,4.964528,7.09415,8.235403,7.843578,4.467843,6.021143,6.058117,7.453423,5.023398
7.682335,7.741037,6.595835,7.432113,6.822395,4.692199,7.84666,4.554373,7.367947,7.310011,7.049761,7.067281,7.501662,7.860337,7.177837,7.695743
0.016414,0.0,0.189115,0.045801,0.188986,0.295195,0.0,0.224338,0.102957,0.0,0.08518,0.171352,0.300668,0.190375,0.021275,0.016854
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030795,0.0,0.0,0.014881,0.0,0.0
20.723537,16.281706,19.533584,22.580172,16.078457,13.492885,24.18854,22.318498,20.835416,22.279863,24.692506,19.688546,20.345523,17.967175,21.042639,15.250904
3.396823,2.766345,1.545202,2.523409,2.270627,0.739306,2.346091,6.150186,3.457859,3.862714,4.25961,2.080078,1.299227,5.080395,2.923113,2.620147
0.002493,0.05486,0.013237,0.0,0.011359,0.063624,0.0,0.012277,0.027229,0.014737,0.0,0.0,0.014468,0.0,0.014066,0.011143
1.73981,1.631157,1.505638,0.184312,8.457812,0.824817,0.086144,0.104424,0.862773,1.511365,3.010299,0.101931,1.102334,2.969704,1.754104,1.872642
6.93591,7.860403,5.180572,7.305722,8.251812,5.802302,8.274863,4.636753,7.728803,7.398202,11.706429,6.979068,4.429162,10.441686,7.838193,7.477273
20.224541,14.873212,14.876517,17.502677,15.472492,11.334564,16.7022,18.143829,26.105163,26.409617,22.367708,15.532493,15.414261,17.054419,22.022193,15.757036
13.068511,15.400098,13.988825,14.920478,14.308573,22.000294,15.885282,15.542747,22.129503,21.444195,20.646704,14.544859,12.072176,12.685709,18.508546,14.528343
0.0,0.0,0.0,0.023295,0.026215,0.014683,0.0,0.0,0.047128,0.0,0.162243,0.0,0.0,0.052814,0.0,0.0
16.298243,17.334267,15.929105,17.160499,16.878902,14.133817,17.158804,12.643923,14.348752,12.015466,10.84108,17.269835,17.194675,14.467625,14.515643,16.40312
3.481529,3.160153,3.641588,5.239373,2.355527,3.080135,3.787144,4.664804,3.732148,4.371924,3.371733,3.733964,3.104475,4.203623,3.524793,2.952841
0.0,0.0,0.0,0.0,0.0,0.45873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.158076,13.880184,13.724371,14.286848,13.788456,11.629943,14.468606,9.076289,13.360755,12.941382,13.574418,14.15696,12.802284,15.360199,11.449782,14.461098
