ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000172992,33.797579,25.15429,26.980323,31.003431,25.623099,30.153165,30.407182,21.756107,26.64392,24.495104,22.81832,25.836175,29.931156,31.775453,24.653726,27.324069,ENSG00000172992
ENSG00000172995,0.976178,2.965838,6.465676,1.176505,4.422156,2.089858,1.375868,0.836244,0.895307,1.012233,0.703135,3.270718,3.140667,0.337682,2.194588,2.250263,ENSG00000172995
ENSG00000173011,7.521573,7.338932,7.021309,5.177507,7.315,7.977057,5.958002,4.753387,6.983631,6.615163,7.431067,6.806962,6.861721,7.146611,7.128873,7.339927,ENSG00000173011
ENSG00000173013,0.839784,1.617566,4.442726,1.665626,1.942107,2.89788,1.573392,1.405307,1.390628,1.055944,2.200208,3.506694,1.703417,2.408434,1.735081,1.520901,ENSG00000173013
ENSG00000173020,17.890101,21.197758,16.110922,13.445448,21.382457,18.209539,15.29795,14.574063,16.51196,18.815755,14.156519,15.116205,18.027846,15.105884,18.905174,21.547406,ENSG00000173020
ENSG00000173039,10.214296,9.316713,8.345572,9.554955,10.008373,7.867936,10.221641,5.328301,8.031128,7.856884,6.926592,8.561959,8.492233,10.415156,7.861625,9.6672,ENSG00000173039
ENSG00000173040,1.429435,1.94352,0.860679,1.466211,1.067896,0.653941,1.839196,0.748493,1.418445,0.917618,1.201885,1.495926,0.714605,1.791754,0.903389,1.554969,ENSG00000173040
ENSG00000173041,4.140439,3.305045,1.554729,4.366545,2.586099,1.498877,4.377652,2.780139,5.144444,4.947381,3.855806,3.064351,2.799057,3.981103,4.179858,3.112841,ENSG00000173041
ENSG00000173064,2.565529,8.263376,5.930815,4.410932,8.224594,11.059149,4.66604,4.116793,1.510272,1.200934,0.719158,8.701055,7.10043,2.016827,3.070831,6.843291,ENSG00000173064
ENSG00000173065,4.107774,7.213424,7.984549,7.681669,8.564887,14.261322,7.591016,7.576856,2.978191,2.313958,2.549701,9.291252,9.147487,5.00298,4.415339,6.304015,ENSG00000173065
ENSG00000173068,0.441395,0.416323,0.195481,0.078792,1.598856,0.5545,0.034914,0.146207,0.138016,0.193418,3.042246,0.216429,0.325593,0.321828,0.289411,0.575782,ENSG00000173068
ENSG00000173077,0.0,0.0,0.0,0.007149,0.0,0.009013,0.0,0.0,0.0,0.0,0.019945,0.0,0.0,0.024314,0.0,0.0,ENSG00000173077
ENSG00000173080,0.0,0.0,0.038418,0.0,0.0,0.0,0.0,0.0,0.0,0.042772,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000173080
ENSG00000173083,0.106428,0.138527,0.083272,0.254478,0.055807,0.249462,0.178878,0.025667,0.133773,0.216089,0.256485,0.092528,0.144095,0.37699,0.097711,0.086197,ENSG00000173083
ENSG00000173085,6.831427,4.839332,4.741623,4.969053,4.046212,2.300258,5.237052,1.51693,6.440148,6.673029,5.253337,4.155075,4.388396,5.239643,4.836649,4.501766,ENSG00000173085
ENSG00000173088,0.649747,0.375904,0.522029,0.248005,0.575625,0.277562,0.294624,0.2753,0.509827,0.572191,0.948357,0.229263,0.208916,0.602217,0.54712,0.400765,ENSG00000173088
ENSG00000173093,0.0,0.0,0.0,0.015302,0.0,0.0,0.0,0.04829,0.0,0.0,0.021344,0.0,0.0,0.017346,0.042358,0.0,ENSG00000173093
ENSG00000173110,0.027297,0.041509,0.033295,0.0,0.0,0.160033,0.040216,0.015441,0.017122,0.018534,0.053121,0.015062,0.025893,0.043172,0.0,0.014014,ENSG00000173110
